Time: 1616658593, System 2, Ping: 1013
Time: 1616658601, System 1, Ping: 565
Time: 1616658602, System 2, Ping: 729
Time: 1616658611, System 1, Ping: 568
Time: 1616658612, System 2, Ping: 939
Time: 1616658622, System 1, Ping: 828
Time: 1616658623, System 2, Ping: 380
Time: 1616658632, System 1, Ping: 1031
Time: 1616658633, System 2, Ping: 489
Time: 1616658643, System 1, Ping: 1268
Time: 1616658644, System 2, Ping: 742
Time: 1616658652, System 1, Ping: 578
Time: 1616658653, System 2, Ping: 719
Time: 1616658662, System 1, Ping: 734
Time: 1616658664, System 2, Ping: 1055
Time: 1616658673, System 1, Ping: 841
Time: 1616658674, System 2, Ping: 1066
Time: 1616658682, System 1, Ping: 592
Time: 1616658684, System 2, Ping: 936
Time: 1616658693, System 1, Ping: 919
Time: 1616658694, System 2, Ping: 782
Time: 1616658703, System 1, Ping: 446
Time: 1616658704, System 2, Ping: 993
Time: 1616658713, System 1, Ping: 1000
Time: 1616658714, System 2, Ping: 550
Time: 1616658723, System 1, Ping: 944
Time: 1616658724, System 2, Ping: 835
Time: 1616658733, System 1, Ping: 805
Time: 1616658734, System 2, Ping: 869
Time: 1616658743, System 1, Ping: 959
Time: 1616658744, System 2, Ping: 848
Time: 1616658754, System 1, Ping: 966
Time: 1616658760, System 2, ERROR: Ping timed out.
Time: 1616658763, System 1, Ping: 549
Time: 1616658764, System 2, Ping: 697
Time: 1616658774, System 1, Ping: 1173
Time: 1616658774, System 2, Ping: 433
Time: 1616658784, System 1, Ping: 585
Time: 1616658784, System 2, Ping: 728
Time: 1616658794, System 1, Ping: 904
Time: 1616658794, System 2, Ping: 443
Time: 1616658804, System 1, Ping: 1336
Time: 1616658805, System 2, Ping: 507
Time: 1616658814, System 1, Ping: 804
Time: 1616658815, System 2, Ping: 1305
Time: 1616658824, System 1, Ping: 628
Time: 1616658825, System 2, Ping: 496
Time: 1616658834, System 1, Ping: 683
Time: 1616658836, System 2, Ping: 1050
Time: 1616658845, System 1, Ping: 1102
Time: 1616658846, System 2, Ping: 981
Time: 1616658855, System 1, Ping: 793
Time: 1616658855, System 2, Ping: 542
Time: 1616658865, System 1, Ping: 727
Time: 1616658866, System 2, Ping: 692
Time: 1616658875, System 1, Ping: 936
Time: 1616658882, System 2, ERROR: Ping timed out.
Time: 1616658885, System 1, Ping: 578
Time: 1616658885, System 2, Ping: 494
Time: 1616658895, System 1, Ping: 688
Time: 1616658896, System 2, Ping: 658
Time: 1616658905, System 1, Ping: 1051
Time: 1616658906, System 2, Ping: 617
Time: 1616658915, System 1, Ping: 870
Time: 1616658916, System 2, Ping: 368
Time: 1616658925, System 1, Ping: 810
Time: 1616658926, System 2, Ping: 449
Time: 1616658936, System 1, Ping: 1033
Time: 1616658937, System 2, Ping: 855
Time: 1616658945, System 1, Ping: 831
Time: 1616658946, System 2, Ping: 594
Time: 1616658956, System 1, Ping: 755
Time: 1616658956, System 2, Ping: 336
Time: 1616658965, System 1, Ping: 676
Time: 1616658966, System 2, Ping: 538
Time: 1616658976, System 1, Ping: 915
Time: 1616658976, System 2, Ping: 584
Time: 1616658986, System 1, Ping: 625
Time: 1616658987, System 2, Ping: 1085
Time: 1616658996, System 1, Ping: 424
Time: 1616658996, System 2, Ping: 870
Time: 1616659006, System 1, Ping: 1194
Time: 1616659007, System 2, Ping: 702
Time: 1616659016, System 1, Ping: 994
Time: 1616659023, System 2, ERROR: Ping timed out.
Time: 1616659027, System 1, Ping: 994
Time: 1616659034, System 2, ERROR: Ping timed out.
Time: 1616659037, System 1, Ping: 1077
Time: 1616659043, System 2, ERROR: Ping timed out.
Time: 1616659046, System 1, Ping: 634
